Period,Org,Org Country,Via,Dst,Dst Country,Mkt Car,Stops,Seats,Miles,Blktm,Departures,Seats_total,Remove,ASMs
2015,AEP,AR,"",SLA,AR,OY,0,165,792,120,215,35475,,28096200
2015,AEP,AR,"",TUC,AR,AR,0,150,664,115,1895,284254,,188744656
2015,AEP,AR,COR,TUC,AR,AR,1,147,664,189,87,12816,,8509824
2015,AEP,AR,"",TUC,AR,LA,0,156,664,120,753,117420,,77966880
2015,AEP,AR,"",UAQ,AR,AR,0,115,614,118,921,106160,,65182240
2015,AEP,AR,"",UAQ,AR,LA,0,156,614,115,246,38364,,23555496
2015,AEP,AR,"",USH,AR,AR,0,167,1479,215,1012,169192,,250234968
2015,AEP,AR,FTE,USH,AR,AR,1,159,1479,312,78,12430,,18383970
2015,AEP,AR,"",USH,AR,LA,0,156,1479,225,475,74064,,109540656
2015,AEP,AR,FTE,USH,AR,LA,1,156,1479,332,76,11856,,17535024
2015,AEP,AR,"",VDM,AR,AR,0,96,502,96,272,26112,,13108224
2015,AEP,AR,MDQ,VDM,AR,AR,1,96,502,165,104,9984,,5011968
2015,AEP,AR,"",VLG,AR,8R,0,34,200,60,62,2108,,421600
2015,AEP,AR,"",VME,AR,8R,0,34,402,110,42,1428,,574056
2015,AEP,AR,RLO,VME,AR,8R,1,34,402,166,66,2244,,902088
2015,AFA,AR,"",AEP,AR,AR,0,96,568,95,358,34368,,19521024
2015,AFA,AR,LUQ,AEP,AR,AR,1,96,568,159,5,480,,272640
2015,AFA,AR,LUQ,EZE,AR,AR,1,96,560,152,1,96,,53760
2015,AFA,AR,"",LUQ,AR,AR,0,96,148,45,6,576,,85248
2015,BHI,AR,MDQ,AEP,AR,8R,1,34,354,165,362,12308,,4357032
2015,BHI,AR,"",AEP,AR,AR,0,141,354,74,1065,150486,,53272044
2015,BHI,AR,"",AEP,AR,LA,0,156,354,75,365,56916,,20148264
2015,BHI,AR,REL,CRD,AR,8R,1,34,557,175,362,12308,,6855556
2015,BHI,AR,"",MDQ,AR,8R,0,34,254,75,362,12308,,3126232
2015,BHI,AR,"",REL,AR,8R,0,34,349,90,362,12308,,4295492
2015,BRC,AR,"",AEP,AR,AR,0,155,829,123,2090,324132,,268705428
2015,BRC,AR,"",AEP,AR,LA,0,156,829,119,1320,205764,,170578356
2015,BRC,AR,"",COR,AR,AR,0,125,782,128,18,2248,,1757936
2015,BRC,AR,ROS,COR,AR,AR,1,133,782,237,292,38744,,30297808
2015,BRC,AR,"",EZE,AR,AR,0,160,812,125,521,83122,,67495064
2015,BRC,AR,"",EZE,AR,LA,0,155,812,119,46,7152,,5807424
2015,BRC,AR,"",FTE,AR,AR,0,166,631,105,199,32972,,20805332
2015,BRC,AR,"",ROS,AR,AR,0,130,805,140,317,41144,,33120920
2015,BRC,AR,FTE,USH,AR,AR,1,165,954,224,139,22970,,21913380
2015,CNQ,AR,"",AEP,AR,AR,0,131,491,89,74,9660,,4743060
2015,CNQ,AR,"",EZE,AR,AR,0,96,510,89,39,3744,,1909440
2015,COR,AR,"",AEP,AR,AR,0,140,404,75,3272,457110,,184672440
2015,COR,AR,"",AEP,AR,LA,0,156,404,75,1740,271314,,109610856
2015,COR,AR,"",BRC,AR,AR,0,132,782,135,310,40992,,32055744
2015,COR,AR,"",EZE,AR,AR,0,156,407,77,482,75106,,30568142
2015,COR,AR,"",FTE,AR,AR,0,148,1370,200,26,3848,,5271760
2015,COR,AR,ROS,FTE,AR,AR,1,137,1370,285,261,35770,,49004900
2015,COR,AR,"",IGR,AR,AR,0,185,704,30,61,11285,,7944640
2015,COR,AR,ROS,IGR,AR,AR,1,96,704,226,165,15840,,11151360
2015,COR,AR,"",IGR,AR,LA,0,156,704,108,1,156,,109824
2015,COR,AR,"",JUJ,AR,AR,0,96,480,83,208,19968,,9584640
2015,COR,AR,"",MDZ,AR,AR,0,122,287,65,734,89258,,25617046
2015,COR,AR,MDZ,NQN,AR,AR,1,144,572,188,395,56714,,32440408
2015,COR,AR,"",ROS,AR,AR,0,129,228,55,325,41914,,9556392
2015,COR,AR,"",SLA,AR,AR,0,96,452,85,260,24960,,11281920
2015,COR,AR,"",TUC,AR,AR,0,130,313,65,130,16944,,5303472
2015,CPC,AR,"",AEP,AR,AR,0,128,795,120,377,48378,,38460510
2015,CPC,AR,EQS,AEP,AR,AR,1,170,795,229,8,1360,,1081200
2015,CPC,AR,"",EQS,AR,AR,0,170,195,48,8,1360,,265200
2015,CPC,AR,"",EZE,AR,AR,0,96,779,127,1,96,,74784
2015,CRD,AR,"",AEP,AR,AR,0,148,909,135,1881,277578,,252318402
2015,CRD,AR,"",AEP,AR,LA,0,156,909,137,258,40236,,36574524
2015,CRD,AR,REL,BHI,AR,8R,1,34,557,175,362,12308,,6855556
2015,CRD,AR,"",EZE,AR,AR,0,146,889,131,14,2042,,1815338
2015,CRD,AR,NQN,MDZ,AR,AR,1,144,898,204,395,56780,,50988440
2015,CRD,AR,"",NQN,AR,AR,0,144,474,85,395,56780,,26913720
2015,CRD,AR,"",REL,AR,8R,0,34,208,60,362,12308,,2560064
2015,CRD,AR,"",RGL,AR,AR,0,129,410,76,217,28084,,11514440
2015,CRD,AR,"",ROS,AR,8R,0,34,957,318,61,2074,,1984818
2015,CRD,AR,AEP,SLA,AR,AR,1,170,1449,351,121,20570,,29805930
2015,CTC,AR,"",AEP,AR,AR,0,98,596,98,297,29032,,17303072
2015,CTC,AR,IRJ,AEP,AR,AR,1,96,596,160,6,576,,343296
2015,CTC,AR,"",EZE,AR,AR,0,96,603,93,9,864,,520992
2015,CTC,AR,IRJ,EZE,AR,AR,1,96,603,150,1,96,,57888
2015,CTC,AR,"",IRJ,AR,AR,0,96,82,28,7,672,,55104
2015,EQS,AR,"",AEP,AR,AR,0,98,894,134,282,27664,,24731616
2015,EQS,AR,"",EZE,AR,AR,0,96,876,132,4,384,,336384
2015,EZE,AR,LUQ,AFA,AR,AR,1,96,560,175,1,96,,53760
2015,EZE,AR,"",BRC,AR,AR,0,157,812,140,519,81432,,66122784
2015,EZE,AR,"",BRC,AR,LA,0,156,812,145,49,7620,,6187440
2015,EZE,AR,"",COR,AR,AR,0,153,407,90,468,71670,,29169690
2015,EZE,AR,"",CPC,AR,AR,0,129,779,140,6,776,,604504
2015,EZE,AR,"",CRD,AR,AR,0,161,889,147,18,2906,,2583434
2015,EZE,AR,"",EQS,AR,AR,0,96,876,153,5,480,,420480
2015,EZE,AR,"",FMA,AR,AR,0,96,595,105,3,288,,171360
2015,EZE,AR,"",FTE,AR,AR,0,163,1265,200,416,67626,,85546890
2015,EZE,AR,BRC,FTE,AR,AR,1,165,1265,297,173,28552,,36118280
2015,EZE,AR,"",FTE,AR,LA,0,156,1265,205,44,6864,,8682960
2015,EZE,AR,USH,FTE,AR,LA,1,156,1265,390,2,312,,394680
2015,EZE,AR,"",IGR,AR,AR,0,156,672,115,355,55360,,37201920
2015,EZE,AR,ROS,IGR,AR,AR,1,148,672,196,9,1332,,895104
2015,EZE,AR,"",IGR,AR,LA,0,156,672,110,1,156,,104832
2015,EZE,AR,"",JUJ,AR,AR,0,103,820,135,7,724,,593680
2015,EZE,AR,"",LUQ,AR,AR,0,96,459,90,1,96,,44064
2015,EZE,AR,"",MDZ,AR,AR,0,96,603,118,343,32928,,19855584
2015,EZE,AR,"",REL,AR,AR,0,162,681,120,204,32982,,22460742
2015,EZE,AR,"",RES,AR,AR,0,96,509,87,2,192,,97728
2015,EZE,AR,"",RGA,AR,AR,0,146,1382,210,126,18388,,25412216
2015,EZE,AR,"",RGL,AR,AR,0,148,1276,195,1,148,,188848
2015,EZE,AR,"",ROS,AR,AR,0,97,184,50,347,33780,,6215520
2015,EZE,AR,"",SDE,AR,AR,0,122,594,100,2,244,,144936
2015,EZE,AR,ROS,SFN,AR,AR,1,96,251,119,4,384,,96384
2015,EZE,AR,"",SLA,AR,AR,0,148,803,135,1,148,,118844
2015,EZE,AR,"",TUC,AR,AR,0,96,674,115,1,96,,64704
2015,EZE,AR,"",UAQ,AR,AR,0,96,613,110,2,192,,117696
2015,EZE,AR,"",USH,AR,AR,0,262,1459,215,274,71692,,104598628
2015,EZE,AR,REL,USH,AR,AR,1,164,1459,315,458,75072,,109530048
2015,EZE,AR,"",USH,AR,LA,0,156,1459,225,5,780,,1138020
2015,EZE,AR,FTE,USH,AR,LA,1,156,1459,328,18,2808,,4096872
2015,FMA,AR,"",AEP,AR,AR,0,96,576,90,614,59204,,34101504
2015,FMA,AR,"",EZE,AR,AR,0,96,595,90,1,96,,57120
2015,FTE,AR,"",AEP,AR,AR,0,158,1284,176,1248,197534,,253633656
2015,FTE,AR,BRC,AEP,AR,AR,1,166,1284,276,185,30636,,39336624
2015,FTE,AR,"",AEP,AR,LA,0,156,1284,177,270,42120,,54082080
2015,FTE,AR,USH,AEP,AR,LA,1,156,1284,325,92,14352,,18427968
2015,FTE,AR,"",BRC,AR,AR,0,165,631,105,212,35050,,22116550
2015,FTE,AR,"",COR,AR,AR,0,138,1370,180,287,39618,,54276660
2015,FTE,AR,"",EZE,AR,AR,0,164,1265,176,403,66158,,83689870
2015,FTE,AR,BRC,EZE,AR,AR,1,163,1265,280,27,4414,,5583710
2015,FTE,AR,"",EZE,AR,LA,0,156,1265,178,19,2964,,3749460
2015,FTE,AR,AEP,IGR,AR,AR,1,170,1934,378,90,15300,,29590200
2015,FTE,AR,"",REL,AR,AR,0,151,583,92,26,3936,,2294688
2015,FTE,AR,COR,ROS,AR,AR,1,137,1329,272,261,35770,,47538330
2015,FTE,AR,"",USH,AR,AR,0,166,352,75,598,99438,,35002176
2015,FTE,AR,"",USH,AR,LA,0,156,352,80,94,14664,,5161728
2015,IGR,AR,"",AEP,AR,AR,0,145,652,115,1865,270314,,176244728
2015,IGR,AR,"",AEP,AR,LA,0,156,652,115,1208,188382,,122825064
2015,IGR,AR,ROS,COR,AR,AR,1,120,704,193,226,27125,,19096000
2015,IGR,AR,"",EZE,AR,AR,0,149,672,120,372,55594,,37359168
2015,IGR,AR,ROS,EZE,AR,AR,1,148,672,214,9,1332,,895104
2015,IGR,AR,"",EZE,AR,LA,0,156,672,115,1,156,,104832
2015,IGR,AR,AEP,FTE,AR,AR,1,170,1934,381,90,15300,,29590200
2015,IGR,AR,ROS,MDZ,AR,AR,1,101,990,259,200,20252,,20049480
2015,IGR,AR,"",ROS,AR,AR,0,107,623,118,134,14384,,8961232
2015,IGR,AR,"",SLA,AR,AR,0,113,690,113,322,36341,,25075290
2015,IRJ,AR,"",AEP,AR,AR,0,96,607,96,311,29856,,18122592
2015,IRJ,AR,CTC,AEP,AR,AR,1,96,607,171,1,96,,58272
2015,IRJ,AR,"",CTC,AR,AR,0,96,82,32,1,96,,7872
2015,IRJ,AR,"",EZE,AR,AR,0,96,611,85,1,96,,58656
2015,JUJ,AR,"",AEP,AR,AR,0,110,808,127,1039,113808,,91956864
2015,JUJ,AR,"",COR,AR,AR,0,96,480,90,208,19968,,9584640
2015,JUJ,AR,"",EZE,AR,AR,0,96,820,120,4,384,,314880
2015,JUJ,AR,COR,MDZ,AR,AR,1,96,623,190,200,19200,,11961600
2015,LGS,AR,"",AEP,AR,AR,0,122,634,100,8,976,,618784
2015,LUQ,AR,"",AEP,AR,8R,0,34,464,120,116,3944,,1830016
2015,LUQ,AR,RLO,AEP,AR,8R,1,34,464,160,70,2380,,1104320
2015,LUQ,AR,"",AEP,AR,AR,0,96,464,82,481,46332,,21498048
2015,LUQ,AR,AFA,AEP,AR,AR,1,96,464,176,3,288,,133632
2015,LUQ,AR,"",AFA,AR,AR,0,96,148,45,3,288,,42624
2015,LUQ,AR,"",EZE,AR,AR,0,96,459,77,3,288,,132192
2015,LUQ,AR,"",RLO,AR,8R,0,34,91,30,31,1054,,95914
2015,LUQ,AR,"",VME,AR,8R,0,34,64,23,43,1462,,93568
2015,MDQ,AR,"",AEP,AR,8R,0,34,238,65,365,12410,,2953580
